iter	Passed	Remaining
0	24	12322
1	39	9929
2	48	8085
3	57	7121
4	66	6539
5	74	6151
6	83	5850
7	91	5617
8	99	5453
9	108	5296
10	117	5245
11	126	5142
12	134	5041
13	143	4972
14	152	4944
15	161	4885
16	170	4835
17	178	4787
18	187	4744
19	195	4696
20	204	4663
21	213	4633
22	222	4605
23	231	4596
24	240	4570
25	250	4571
26	264	4635
27	274	4629
28	300	4885
29	321	5036
30	332	5024
31	341	4997
32	351	4967
33	359	4933
34	368	4896
35	377	4868
36	387	4843
37	395	4810
38	404	4779
39	413	4759
40	423	4745
41	432	4716
42	441	4688
43	449	4662
44	459	4641
45	468	4622
46	477	4602
47	487	4587
48	496	4566
49	505	4548
50	514	4528
51	522	4504
52	531	4486
53	539	4459
54	548	4439
55	557	4419
56	566	4403
57	575	4389
58	584	4366
59	592	4348
60	601	4331
61	610	4311
62	619	4294
63	627	4274
64	636	4259
65	644	4241
66	653	4224
67	661	4205
68	670	4191
69	679	4176
70	688	4162
71	697	4145
72	705	4129
73	714	4114
74	723	4101
75	732	4086
76	741	4070
77	749	4056
78	759	4045
79	768	4032
80	776	4015
81	784	3999
82	793	3985
83	801	3970
84	810	3956
85	818	3942
86	828	3931
87	837	3920
88	846	3909
89	855	3895
90	864	3883
91	872	3870
92	881	3859
93	890	3846
94	899	3836
95	908	3822
96	917	3810
97	925	3798
98	934	3786
99	944	3776
100	952	3764
101	961	3751
102	970	3739
103	978	3726
104	987	3716
105	997	3706
106	1005	3694
107	1014	3681
108	1022	3668
109	1030	3655
110	1039	3644
111	1048	3632
112	1057	3621
113	1066	3611
114	1075	3601
115	1084	3591
116	1094	3581
117	1103	3572
118	1112	3561
119	1121	3552
120	1131	3543
121	1139	3531
122	1148	3518
123	1156	3507
124	1166	3498
125	1174	3486
126	1183	3475
127	1191	3463
128	1200	3452
129	1208	3440
130	1217	3430
131	1226	3419
132	1235	3409
133	1244	3399
134	1253	3389
135	1262	3379
136	1271	3368
137	1280	3358
138	1288	3347
139	1297	3337
140	1306	3326
141	1314	3315
142	1323	3303
143	1331	3291
144	1340	3280
145	1349	3270
146	1357	3260
147	1366	3250
148	1376	3241
149	1384	3231
150	1393	3220
151	1401	3209
152	1410	3198
153	1418	3186
154	1426	3174
155	1435	3165
156	1443	3153
157	1451	3141
158	1460	3131
159	1469	3122
160	1478	3112
161	1486	3101
162	1494	3090
163	1503	3079
164	1512	3069
165	1521	3060
166	1529	3049
167	1537	3038
168	1545	3027
169	1554	3017
170	1563	3007
171	1571	2996
172	1579	2986
173	1588	2975
174	1596	2965
175	1604	2954
176	1613	2943
177	1621	2932
178	1629	2921
179	1637	2911
180	1646	2901
181	1654	2891
182	1663	2880
183	1671	2871
184	1680	2861
185	1688	2850
186	1697	2840
187	1705	2830
188	1714	2820
189	1722	2810
190	1731	2800
191	1739	2790
192	1748	2781
193	1756	2771
194	1765	2761
195	1774	2752
196	1782	2742
197	1791	2732
198	1799	2722
199	1808	2712
200	1817	2703
201	1825	2692
202	1833	2682
203	1842	2673
204	1850	2663
205	1859	2654
206	1868	2644
207	1877	2635
208	1885	2625
209	1894	2616
210	1903	2606
211	1912	2597
212	1920	2587
213	1928	2577
214	1937	2568
215	1945	2558
216	1953	2547
217	1962	2538
218	1971	2529
219	1979	2519
220	1988	2509
221	1996	2499
222	2004	2489
223	2013	2480
224	2021	2470
225	2030	2461
226	2038	2451
227	2047	2442
228	2055	2432
229	2064	2423
230	2072	2413
231	2080	2403
232	2089	2394
233	2098	2385
234	2107	2375
235	2115	2366
236	2124	2357
237	2132	2347
238	2140	2337
239	2148	2327
240	2157	2318
241	2166	2309
242	2174	2300
243	2182	2290
244	2191	2280
