Полный адрес помещения,"Торговая площадь, вещественный",url,Месяц,"Дата открытия, категориальный","Торговая площадь, категориальный",Населенный пункт,Регион,Численность населения,Количество домохозяйств,"Трафик пеший, в час","Трафик авто, в час","Маркетплейсы, доставки, постаматы (100 м)",Медицинские уч. и аптеки (300 м),Школы (300 м),Остановки (300 м),Продуктовые магазины (500 м),Пятерочки (500 м),Ожидаемый трафик,Ожидаемый средний чек,Ожидаемая выручка
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",265.5,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,1,Новый,Маленький,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,59737.914,941.4731715513823,56241643.355443716
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",265.5,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,2,Новый,Маленький,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,60019.171,937.5223832630401,56269316.23739194
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",265.5,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,3,Новый,Маленький,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,62045.315,942.1196591670233,58454111.0207106
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",265.5,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,4,Новый,Маленький,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,61997.215,915.0576698875525,56731027.097417615
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",265.5,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,5,Новый,Маленький,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,62408.26,902.2187038304376,56305899.44551294
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",265.5,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,6,Новый,Маленький,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,61404.593,885.3742800044679,54366047.31634239
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",265.5,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,7,Новый,Маленький,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,61343.963,886.190047475543,54362409.48330796
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",265.5,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,8,Новый,Маленький,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,61270.68,889.3279189463353,54489726.336826846
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",265.5,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,9,Новый,Маленький,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,63183.856,912.104868944246,57630302.69627211
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",265.5,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,10,Новый,Маленький,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,62791.549,947.6393452436781,59503742.38119633
